0.087,0.0,0.93
0.19,0.0,0.93
0.288,0.0,0.93
0.391,0.0,0.93
0.493,0.0,0.93
0.591,0.0,0.93
0.694,0.0,0.93
0.796,0.0,0.93
0.894,0.0,0.93
0.997,0.0,0.93
1.099,0.0,0.93
1.201,0.0,0.93
1.3,0.0,0.93
1.402,0.0,0.93
1.505,0.0,0.93
1.603,0.0,0.93
1.705,0.0,0.93
1.808,0.0,0.93
1.906,0.0,0.93
2.008,0.0,0.93
2.111,0.0,0.93
2.209,0.0,0.93
2.311,0.0,0.93
2.414,0.0,0.93
2.512,0.0,0.93
2.615,0.0,0.93
2.717,0.0,0.93
2.815,0.0,0.93
2.918,0.0,0.93
3.02,0.0,0.93
3.118,0.0,0.93
3.221,0.0,0.93
3.323,0.0,0.93
3.426,0.0,0.93
3.524,0.0,0.93
3.627,0.0,0.93
3.729,0.0,0.93
3.827,0.0,0.93
3.929,0.0,0.93
4.032,0.0,0.93
4.13,0.0,0.93
4.232,0.0,0.93
4.335,0.0,0.93
4.433,0.0,0.93
4.536,0.0,0.93
4.638,0.0,0.93
4.736,0.0,0.93
4.839,0.0,0.93
4.941,0.0,0.93
5.039,0.0,0.93
5.142,0.0,0.93
5.244,0.0,0.93
5.347,0.0,0.93
5.445,0.0,0.93
5.548,0.0,0.93
5.65,0.0,0.93
5.748,0.0,0.93
5.85,0.0,0.93
5.953,0.0,0.93
6.051,0.0,0.93
6.154,0.0,0.93
6.256,0.0,0.93
6.354,0.0,0.93
6.457,0.0,0.93
6.559,0.0,0.93
6.657,0.0,0.93
6.76,0.0,0.93
6.862,0.0,0.93
6.96,0.0,0.93
7.063,0.0,0.93
7.165,0.0,0.93
7.268,7.0,0.93
7.366,7.0,0.93
7.468,7.0,0.92
7.571,7.0,0.76
7.669,7.0,0.74
7.771,7.0,0.72
7.874,7.0,0.71
7.972,7.0,0.7
8.074,7.0,0.68
8.177,7.0,0.66
8.275,7.0,0.6
8.378,7.0,0.57
8.48,7.0,0.57
8.578,7.0,0.57
8.681,7.0,0.57
8.783,7.0,0.57
8.881,7.0,0.57
8.984,7.0,0.57
9.086,7.0,0.57
9.184,7.0,0.57
9.287,7.0,0.57
9.389,7.0,0.57
9.492,7.0,0.57
9.59,7.0,0.57
9.692,7.0,0.56
9.795,7.0,0.52
9.893,7.0,0.52
9.995,7.0,0.53
10.098,7.0,0.53
10.196,7.0,0.53
10.299,7.0,0.54
10.401,7.0,0.54
10.499,7.0,0.54
10.602,7.0,0.55
10.704,7.0,0.55
10.802,7.0,0.55
10.905,7.0,0.55
11.007,7.0,0.56
11.105,7.0,0.56
11.208,7.0,0.56
11.31,7.0,0.53
11.409,7.0,0.53
11.511,7.0,0.54
11.613,7.0,0.54
